   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
59986,12/19/2003,2,others,12.5,9,21.3,12.3,12.3,others,CO-7,12.5
60059,12/18/2003,2,others,9,9,18,9,9,BRC,CO-31,9
60651,12/14/2003,2,BF-LS,4,14,18,4,4,BRC,CO-34,4
60669,12/14/2003,2,others,1.25,16,17.15,1.15,1.15,WBRC,CO-26,1.25
61028,12/11/2003,2,I-O-F,13.25,9.15,22.3,13.15,13.15,BRC,CO-31,13.25
61549,12/7/2003,2,others,3.25,8.45,12,3.15,3.15,others,"CO--65,66",3.25
61550,12/7/2003,2,I-O-F,4.833333,7.45,12.35,4.5,4.5,others,CO--67,4.833333
61555,12/7/2003,2,I-O-F,2,6.45,8.45,2,2,others,CO--66,2
62286,12/2/2003,2,SMS-LS,0.75,10.3,11.15,0.45,0.45,BRC,"CO-66,69",0.75
63034,11/26/2003,2,BF-LS,11.166667,10.3,21.4,11.1,11.1,others,CO-35,11.166667
63046,11/26/2003,2,others,7,10.3,17.3,7,7,others,CO-13,7
63911,11/19/2003,2,others,8.75,9,17.45,8.45,8.45,others,"CO-66,69",8.75
63949,11/19/2003,2,others,8.75,9,17.45,8.45,8.45,others,"CO-5,8,11",8.75
64230,11/17/2003,2,others,14,16,6,14,14,others,CO-73,14
64789,11/13/2003,2,others,9.5,9,18.3,9.3,9.3,others,CO-5,9.5
65723,11/6/2003,2,others,6.75,19,1.45,6.45,6.45,LOCP,CO-58,6.75
66304,11/2/2003,2,I-O-F,9,9,18,9,9,others,CO-1,9
67286,10/26/2003,2,I-O-F,0.666667,23,23.4,0.4,0.4,others,CO-26,0.666667
